time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.333,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,6,30
1.333,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,6,30
2.333,41,33,8,12,21,3,5,78.485,80,55,80,80,80,1,0,0,6,6,600,600,6,30
3.333,41,33,8,12,21,3,5,78.485,80,55,80,80,80,1,0,0,6,6,600,600,7,30
4.333,42,34,8,13,21,3,5,77.059,80,55,80,80,80,2,0,0,6,6,600,600,7,30
5.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,6,30
6.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,5,30
7.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,6,30
8.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,5,30
9.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,5,30
10.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
11.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,5,30
12.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
13.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
14.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,5,30
15.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
16.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
17.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
18.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,3,30
19.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,3,30
20.333,42,33,8,12,21,3,5,76.97,82.5,55,80,80,100,2,1,1,6,6,600,600,4,30
