time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,4,30
1.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,5,30
2.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,6,30
3.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,4,30
4.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,4,30
5.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,510.667,600,2,30
6.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,512.667,600,2,30
7.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,5,6,500,600,0,30
8.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,502,600,1,30
9.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,504,600,1,30
10.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,506,600,1,30
11.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,501.333,600,1,30
12.333,40,30,9,10,20,4,5,100,88.889,100,100,0,100,0,1,1,6,6,503.333,600,0,30
13.333,40,30,9,10,20,4,5,100,88.889,100,100,0,100,0,1,1,6,6,505.333,600,1,30
14.333,41,31,9,11,20,4,5,98.387,88.889,75,100,0,100,1,1,1,6,6,507.333,600,1,30
15.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,509.333,600,2,30
16.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,511.333,600,1,30
17.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,513.333,600,1,30
18.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,515.333,600,1,30
19.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,517.333,600,1,30
20.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,519.333,600,1,30
21.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,521.333,600,1,30
22.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,523.333,600,1,30
23.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,525.333,600,1,30
24.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,527.333,600,1,30
25.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,529.333,600,1,30
26.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,531.333,600,0,30
27.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,533.333,600,1,30
28.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,535.333,600,1,30
29.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,537.333,600,1,30
30.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,539.333,600,1,30
31.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,541.333,600,1,30
32.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,543.333,600,1,30
33.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,545.333,600,1,30
34.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,547.333,600,1,30
35.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,549.333,600,2,30
36.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,551.333,600,1,30
37.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,553.333,600,2,30
38.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,555.333,600,1,30
39.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,557.333,600,2,30
40.333,43,32,10,12,20,5,5,96.875,87,75,100,0,100,3,1,1,6,6,559.333,600,1,30
41.333,43,31,10,12,19,5,5,96.774,87,75,100,0,100,3,2,2,6,6,561.333,600,1,30
42.333,43,31,10,12,19,5,5,96.774,87,75,100,0,100,3,2,2,6,6,563.333,600,1,30
43.333,44,31,11,12,19,6,5,96.774,85.455,75,100,0,100,4,2,2,6,6,565.333,600,1,30
44.333,44,31,11,12,19,6,5,96.774,85.455,75,100,0,100,4,2,2,6,6,567.333,600,1,30
45.333,44,31,11,12,19,6,5,96.774,85.455,75,100,0,100,4,2,2,6,6,569.333,600,1,30
46.333,44,31,11,12,19,6,5,96.774,85.455,75,100,0,100,4,2,2,6,6,571.333,600,1,30
47.333,44,31,11,12,19,6,5,96.774,85.455,75,100,0,100,4,2,2,6,6,573.333,600,3,30
48.333,44,30,11,12,18,6,5,97.5,86.818,75,100,0,100,4,3,3,6,6,575.333,600,1,30
49.333,44,30,11,12,18,6,5,97.5,86.818,75,100,0,100,4,3,3,6,6,577.333,600,1,30
50.333,44,29,11,11,18,6,5,97.414,86.818,75,100,0,100,4,4,4,6,6,579.333,600,1,30
51.333,44,29,11,11,18,6,5,97.414,86.818,75,100,0,100,4,4,4,6,6,581.333,600,1,30
52.333,44,28,11,11,17,6,5,98.214,86.818,75,100,0,100,4,5,5,6,6,583.333,600,1,30
53.333,44,28,11,11,17,6,5,98.214,86.818,75,100,0,100,4,5,5,6,6,585.333,600,1,30
