time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.02,40,32,8,11,21,3,5,79.984,79.984,79.984,79.984,79.984,79.984,0,0,0,6,6,600,600,0,0
1.032,40,32,8,11,21,3,5,79.175,79.175,79.175,79.175,79.175,79.175,0,0,0,6,6,600,600,0,0
2.046,40,32,8,11,21,3,5,78.363,78.363,78.363,78.363,78.363,78.363,0,0,0,6,6,600,600,0,0
3.062,40,32,8,11,21,3,5,77.55,77.55,77.55,77.55,77.55,77.55,0,0,0,6,6,600,600,0,0
4.065,40,32,8,11,21,3,5,76.748,76.748,76.748,76.748,76.748,76.748,0,0,0,6,6,600,600,0,0
5.08,40,32,8,11,21,3,5,75.936,75.936,75.936,75.936,75.936,75.936,0,0,0,6,6,600,600,0,0
6.092,40,32,8,11,21,3,5,75.126,75.126,75.126,75.126,75.126,75.126,0,0,0,6,6,600,600,0,0
7.099,40,32,8,11,21,3,5,74.321,74.321,74.321,74.321,74.321,74.321,0,0,0,6,6,600,600,0,0
7.823,40,32,8,11,21,3,5,73.741,73.741,73.741,73.741,73.741,73.741,0,0,0,6,6,600,600,0,0
