time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,9,30
1.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,9,30
2.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,8,30
3.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,7,30
4.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,5,30
5.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,6,30
6.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,5,30
7.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,4,30
8.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,2,30
9.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,1,30
10.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,1,30
11.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,1,30
12.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,1,30
13.333,40,31,9,11,20,4,5,100,88.889,100,100,0,100,0,0,0,6,6,600,600,1,30
14.333,41,32,9,12,20,4,5,98.438,88.889,75,100,0,100,1,0,0,6,6,600,600,1,30
15.333,41,32,9,12,20,4,5,98.438,88.889,75,100,0,100,1,0,0,6,6,600,600,1,30
16.333,41,32,9,12,20,4,5,98.438,88.889,75,100,0,100,1,0,0,6,6,600,600,1,30
17.333,41,32,9,12,20,4,5,98.438,88.889,75,100,0,100,1,0,0,6,6,600,600,1,30
18.333,42,33,9,13,20,4,5,96.97,88.889,75,100,0,100,2,0,0,6,6,600,600,1,30
19.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
20.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
21.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
22.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
23.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
24.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,2,30
25.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,3,30
26.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
27.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
28.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
29.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
30.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,2,30
31.333,42,32,9,12,20,4,5,96.875,88.889,75,100,0,100,2,1,1,6,6,600,600,1,30
32.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
33.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
34.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
35.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
36.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
37.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
38.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
39.333,43,33,9,13,20,4,5,95.455,88.889,75,100,0,100,3,1,1,6,6,600,600,1,30
40.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
41.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
42.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
43.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,2,30
44.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
45.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,2,30
46.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
47.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
48.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
49.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,2,30
50.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
51.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
52.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
53.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
54.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
55.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
56.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
57.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
58.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,2,30
59.333,44,33,10,13,20,5,5,95.455,87,75,100,0,100,4,1,1,6,6,600,600,1,30
60.333,44,33,10,13,20,5,5,95.455,88.5,75,100,0,100,4,1,1,6,6,600,600,2,30
61.333,44,33,10,13,20,5,5,95.455,88.5,75,100,0,100,4,1,1,6,6,600,600,2,30
62.333,44,33,10,13,20,5,5,95.455,88.5,75,100,0,100,4,1,1,6,6,600,600,1,30
63.333,44,33,10,13,20,5,5,95.455,88.5,75,100,0,100,4,1,1,6,6,600,600,1,30
64.333,44,33,10,13,20,5,5,95.455,88.5,75,100,0,100,4,1,1,6,6,600,600,1,30
65.333,44,33,10,13,20,5,5,95.455,88.5,75,100,0,100,4,1,1,6,6,600,600,1,30
