time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.02,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,3,30
1.024,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,3,30
2.03,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,3,30
3.03,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
4.031,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
5.036,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
6.043,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
7.048,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
8.053,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
9.075,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
10.089,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
11.091,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
12.095,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
13.1,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
14.102,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
15.104,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
16.106,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
17.108,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
18.11,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
19.111,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
20.112,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
21.114,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
22.12,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
23.132,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
24.149,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
25.151,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
25.443,40,32,8,11,21,3,5,80,80,80,80,80,80,0,0,0,6,6,600,600,4,30
