time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.02,40,32,8,11,21,3,5,79.984,79.984,79.984,79.984,79.984,79.984,0,0,0,6,6,600,600,0,0
1.031,40,32,8,11,21,3,5,79.175,79.175,79.175,79.175,79.175,79.175,0,0,0,6,6,600,600,0,0
2.037,40,32,8,11,21,3,5,78.37,78.37,78.37,78.37,78.37,78.37,0,0,0,6,6,600,600,0,0
3.048,40,32,8,11,21,3,5,77.561,77.561,77.561,77.561,77.561,77.561,0,0,0,6,6,600,600,0,0
4.05,40,32,8,11,21,3,5,76.76,76.76,76.76,76.76,76.76,76.76,0,0,0,6,6,600,600,0,0
5.056,40,32,8,11,21,3,5,75.955,75.955,75.955,75.955,75.955,75.955,0,0,0,6,6,600,600,0,0
6.077,40,32,8,11,21,3,5,75.138,75.138,75.138,75.138,75.138,75.138,0,0,0,6,6,600,600,0,0
7.096,40,32,8,11,21,3,5,74.323,74.323,74.323,74.323,74.323,74.323,0,0,0,6,6,600,600,0,0
8.099,40,32,8,11,21,3,5,73.521,73.521,73.521,73.521,73.521,73.521,0,0,0,6,6,600,600,0,0
9.103,40,32,8,11,21,3,5,72.718,72.718,72.718,72.718,72.718,72.718,0,0,0,6,6,600,600,0,0
10.105,40,32,8,11,21,3,5,71.916,71.916,71.916,71.916,71.916,71.916,0,0,0,6,6,600,600,0,0
11.111,40,32,8,11,21,3,5,71.111,71.111,71.111,71.111,71.111,71.111,0,0,0,6,6,600,600,0,0
12.112,40,32,8,11,21,3,5,70.31,70.31,70.31,70.31,70.31,70.31,0,0,0,6,6,600,600,0,0
13.129,40,32,8,11,21,3,5,69.497,69.497,69.497,69.497,69.497,69.497,0,0,0,6,6,600,600,0,0
14.132,40,32,8,11,21,3,5,68.694,68.694,68.694,68.694,68.694,68.694,0,0,0,6,6,600,600,0,0
15.134,40,32,8,11,21,3,5,67.893,67.893,67.893,67.893,67.893,67.893,0,0,0,6,6,600,600,0,0
16.136,40,32,8,11,21,3,5,67.091,67.091,67.091,67.091,67.091,67.091,0,0,0,6,6,600,600,0,0
17.138,40,32,8,11,21,3,5,66.29,66.29,66.29,66.29,66.29,66.29,0,0,0,6,6,600,600,0,0
18.142,40,32,8,11,21,3,5,65.487,65.487,65.487,65.487,65.487,65.487,0,0,0,6,6,600,600,0,0
19.144,40,32,8,11,21,3,5,64.685,64.685,64.685,64.685,64.685,64.685,0,0,0,6,6,600,600,0,0
19.253,40,32,8,11,21,3,5,64.598,64.598,64.598,64.598,64.598,64.598,0,0,0,6,6,600,600,0,0
