time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.02,40,32,8,11,21,3,5,79.999,79.996,79.984,80,79.984,80,0,0,0,6,6,600,600,0,0
1.039,40,32,8,11,21,3,5,79.185,79.182,79.169,79.186,79.169,79.186,0,0,0,6,6,600,600,0,0
2.04,40,32,8,11,21,3,5,78.38,78.378,78.368,78.381,78.368,78.381,0,0,0,6,6,600,600,0,0
3.043,40,32,8,11,21,3,5,77.579,77.576,77.565,77.58,77.565,77.58,0,0,0,6,6,600,600,0,0
4.056,40,32,8,11,21,3,5,76.767,76.764,76.755,76.767,76.755,76.767,0,0,0,6,6,600,600,0,0
5.061,40,32,8,11,21,3,5,75.967,75.964,75.951,75.968,75.951,75.968,0,0,0,6,6,600,600,0,0
6.076,40,32,8,11,21,3,5,75.151,75.148,75.139,75.151,75.139,75.151,0,0,0,6,6,600,600,0,0
7.088,40,32,8,11,21,3,5,74.342,74.34,74.33,74.343,74.33,74.343,0,0,0,6,6,600,600,0,0
8.093,40,32,8,11,21,3,5,73.539,73.536,73.526,73.54,73.526,73.54,0,0,0,6,6,600,600,0,0
9.096,40,32,8,11,21,3,5,72.735,72.733,72.723,72.736,72.723,72.736,0,0,0,6,6,600,600,0,0
10.101,40,32,8,11,21,3,5,71.932,71.929,71.919,71.933,71.919,71.933,0,0,0,6,6,600,600,0,0
11.107,40,32,8,11,21,3,5,71.126,71.124,71.114,71.127,71.114,71.127,0,0,0,6,6,600,600,0,0
12.112,40,32,8,11,21,3,5,70.323,70.321,70.311,70.324,70.311,70.324,0,0,0,6,6,600,600,0,0
13.119,40,32,8,11,21,3,5,69.517,69.514,69.504,69.517,69.504,69.517,0,0,0,6,6,600,600,0,0
14.121,40,32,8,11,21,3,5,68.715,68.713,68.703,68.716,68.703,68.716,0,0,0,6,6,600,600,0,0
15.125,40,32,8,11,21,3,5,67.913,67.91,67.9,67.913,67.9,67.913,0,0,0,6,6,600,600,0,0
16.128,40,32,8,11,21,3,5,67.111,67.108,67.098,67.112,67.098,67.112,0,0,0,6,6,600,600,0,0
17.128,40,32,8,11,21,3,5,66.31,66.308,66.297,66.311,66.297,66.311,0,0,0,6,6,600,600,0,0
18.132,40,32,8,11,21,3,5,65.508,65.506,65.495,65.509,65.495,65.509,0,0,0,6,6,600,600,0,0
19.132,40,32,8,11,21,3,5,64.707,64.705,64.694,64.708,64.694,64.708,0,0,0,6,6,600,600,0,0
20.147,40,32,8,11,21,3,5,63.895,63.893,63.883,63.896,63.883,63.896,0,0,0,6,6,600,600,0,0
21.025,40,32,8,11,21,3,5,63.18,63.18,63.18,63.18,63.18,63.18,0,0,0,6,6,600,600,0,0
